TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W10;CH;Y50T54;F;P;13
2020-W10;CH;Y50T54;M;P;15
2020-W10;CH;Y55T59;T;P;30
2020-W10;CH;Y55T59;F;P;10
2020-W10;CH;Y55T59;M;P;20
2020-W10;CH;Y60T64;T;P;61
2020-W10;CH;Y60T64;F;P;21
2020-W10;CH;Y60T64;M;P;40
2020-W10;CH;Y65T69;T;P;71
2020-W10;CH;Y65T69;F;P;25
2020-W10;CH;Y65T69;M;P;46
2020-W10;CH;Y70T74;T;P;99
2020-W10;CH;Y70T74;F;P;42
2020-W10;CH;Y70T74;M;P;57
2020-W10;CH;Y75T79;T;P;158
2020-W10;CH;Y75T79;F;P;76
2020-W10;CH;Y75T79;M;P;82
2020-W10;CH;Y80T84;T;P;193
2020-W10;CH;Y80T84;F;P;89
2020-W10;CH;Y80T84;M;P;104
2020-W10;CH;Y85T89;T;P;261
2020-W10;CH;Y85T89;F;P;141
2020-W10;CH;Y85T89;M;P;120
2020-W10;CH;Y_GE90;T;P;409
2020-W10;CH;Y_GE90;F;P;280
2020-W10;CH;Y_GE90;M;P;129
2020-W11;CH;_T;T;P;1384
2020-W11;CH;_T;F;P;730
2020-W11;CH;_T;M;P;654
2020-W11;CH;Y0T4;T;P;8
2020-W11;CH;Y0T4;F;P;4
2020-W11;CH;Y0T4;M;P;4
2020-W11;CH;Y15T19;T;P;2
2020-W11;CH;Y15T19;M;P;2
2020-W11;CH;Y25T29;T;P;4
2020-W11;CH;Y25T29;M;P;4
2020-W11;CH;Y30T34;T;P;3
2020-W11;CH;Y30T34;F;P;2
2020-W11;CH;Y30T34;M;P;1
2020-W11;CH;Y35T39;T;P;6
2020-W11;CH;Y35T39;F;P;1
2020-W11;CH;Y35T39;M;P;5
2020-W11;CH;Y40T44;T;P;12
2020-W11;CH;Y40T44;F;P;4
2020-W11;CH;Y40T44;M;P;8
2020-W11;CH;Y45T49;T;P;14
2020-W11;CH;Y45T49;F;P;9
2020-W11;CH;Y45T49;M;P;5
2020-W11;CH;Y50T54;T;P;22
2020-W11;CH;Y50T54;F;P;9
2020-W11;CH;Y50T54;M;P;13
2020-W11;CH;Y55T59;T;P;32
2020-W11;CH;Y55T59;F;P;16
2020-W11;CH;Y55T59;M;P;16
2020-W11;CH;Y60T64;T;P;46
2020-W11;CH;Y60T64;F;P;16
2020-W11;CH;Y60T64;M;P;30
2020-W11;CH;Y65T69;T;P;67
2020-W11;CH;Y65T69;F;P;31
2020-W11;CH;Y65T69;M;P;36
2020-W11;CH;Y70T74;T;P;113
2020-W11;CH;Y70T74;F;P;55
2020-W11;CH;Y70T74;M;P;58
2020-W11;CH;Y75T79;T;P;166
2020-W11;CH;Y75T79;F;P;73
2020-W11;CH;Y75T79;M;P;93
2020-W11;CH;Y80T84;T;P;210
2020-W11;CH;Y80T84;F;P;86
2020-W11;CH;Y80T84;M;P;124
2020-W11;CH;Y85T89;T;P;277
2020-W11;CH;Y85T89;F;P;154
2020-W11;CH;Y85T89;M;P;123
2020-W11;CH;Y_GE90;T;P;402
2020-W11;CH;Y_GE90;F;P;270
2020-W11;CH;Y_GE90;M;P;132
2020-W12;CH;_T;T;P;1523
2020-W12;CH;_T;F;P;759
2020-W12;CH;_T;M;P;764
2020-W12;CH;Y0T4;T;P;7
2020-W12;CH;Y0T4;F;P;4
2020-W12;CH;Y0T4;M;P;3
2020-W12;CH;Y5T9;T;P;1
2020-W12;CH;Y5T9;M;P;1
2020-W12;CH;Y10T14;T;P;1
2020-W12;CH;Y10T14;M;P;1
2020-W12;CH;Y20T24;T;P;1
2020-W12;CH;Y20T24;M;P;1
2020-W12;CH;Y25T29;T;P;2
2020-W12;CH;Y25T29;F;P;1
2020-W12;CH;Y25T29;M;P;1
2020-W12;CH;Y30T34;T;P;6
2020-W12;CH;Y30T34;F;P;3
2020-W12;CH;Y30T34;M;P;3
2020-W12;CH;Y35T39;T;P;9
2020-W12;CH;Y35T39;F;P;5
2020-W12;CH;Y35T39;M;P;4
2020-W12;CH;Y40T44;T;P;5
2020-W12;CH;Y40T44;F;P;1
2020-W12;CH;Y40T44;M;P;4
2020-W12;CH;Y45T49;T;P;14
2020-W12;CH;Y45T49;F;P;6
2020-W12;CH;Y45T49;M;P;8
2020-W12;CH;Y50T54;T;P;28
2020-W12;CH;Y50T54;F;P;8
2020-W12;CH;Y50T54;M;P;20
2020-W12;CH;Y55T59;T;P;39
2020-W12;CH;Y55T59;F;P;15
2020-W12;CH;Y55T59;M;P;24
2020-W12;CH;Y60T64;T;P;54
2020-W12;CH;Y60T64;F;P;20
2020-W12;CH;Y60T64;M;P;34
2020-W12;CH;Y65T69;T;P;78
2020-W12;CH;Y65T69;F;P;30
2020-W12;CH;Y65T69;M;P;48
2020-W12;CH;Y70T74;T;P;123
2020-W12;CH;Y70T74;F;P;43
2020-W12;CH;Y70T74;M;P;80
2020-W12;CH;Y75T79;T;P;183
2020-W12;CH;Y75T79;F;P;81
2020-W12;CH;Y75T79;M;P;102
2020-W12;CH;Y80T84;T;P;250
2020-W12;CH;Y80T84;F;P;106
2020-W12;CH;Y80T84;M;P;144
2020-W12;CH;Y85T89;T;P;281
2020-W12;CH;Y85T89;F;P;138
2020-W12;CH;Y85T89;M;P;143
2020-W12;CH;Y_GE90;T;P;441
2020-W12;CH;Y_GE90;F;P;298
2020-W12;CH;Y_GE90;M;P;143
2020-W13;CH;_T;T;P;1608
2020-W13;CH;_T;F;P;767
2020-W13;CH;_T;M;P;841
2020-W13;CH;Y0T4;T;P;6
2020-W13;CH;Y0T4;F;P;2
2020-W13;CH;Y0T4;M;P;4
2020-W13;CH;Y5T9;T;P;1
2020-W13;CH;Y5T9;M;P;1
2020-W13;CH;Y15T19;T;P;2
2020-W13;CH;Y15T19;F;P;1
2020-W13;CH;Y15T19;M;P;1
2020-W13;CH;Y20T24;T;P;5
2020-W13;CH;Y20T24;F;P;1
2020-W13;CH;Y20T24;M;P;4
2020-W13;CH;Y25T29;T;P;2
2020-W13;CH;Y25T29;M;P;2
2020-W13;CH;Y30T34;T;P;4
2020-W13;CH;Y30T34;M;P;4
2020-W13;CH;Y35T39;T;P;6
2020-W13;CH;Y35T39;F;P;4
2020-W13;CH;Y35T39;M;P;2
2020-W13;CH;Y40T44;T;P;8
2020-W13;CH;Y40T44;F;P;1
2020-W13;CH;Y40T44;M;P;7
2020-W13;CH;Y45T49;T;P;14
2020-W13;CH;Y45T49;F;P;3
2020-W13;CH;Y45T49;M;P;11
2020-W13;CH;Y50T54;T;P;25
2020-W13;CH;Y50T54;F;P;7
2020-W13;CH;Y50T54;M;P;18
2020-W13;CH;Y55T59;T;P;47
2020-W13;CH;Y55T59;F;P;16
2020-W13;CH;Y55T59;M;P;31
2020-W13;CH;Y60T64;T;P;65
2020-W13;CH;Y60T64;F;P;23
2020-W13;CH;Y60T64;M;P;42
2020-W13;CH;Y65T69;T;P;78
2020-W13;CH;Y65T69;F;P;21
2020-W13;CH;Y65T69;M;P;57
2020-W13;CH;Y70T74;T;P;142
2020-W13;CH;Y70T74;F;P;52
2020-W13;CH;Y70T74;M;P;90
2020-W13;CH;Y75T79;T;P;186
2020-W13;CH;Y75T79;F;P;72
2020-W13;CH;Y75T79;M;P;114
2020-W13;CH;Y80T84;T;P;228
2020-W13;CH;Y80T84;F;P;96
2020-W13;CH;Y80T84;M;P;132
2020-W13;CH;Y85T89;T;P;309
2020-W13;CH;Y85T89;F;P;155
2020-W13;CH;Y85T89;M;P;154
2020-W13;CH;Y_GE90;T;P;480
2020-W13;CH;Y_GE90;F;P;313
2020-W13;CH;Y_GE90;M;P;167
2020-W14;CH;_T;T;P;1864
2020-W14;CH;_T;F;P;895
2020-W14;CH;_T;M;P;969
2020-W14;CH;Y0T4;T;P;7
2020-W14;CH;Y0T4;F;P;4
2020-W14;CH;Y0T4;M;P;3
2020-W14;CH;Y15T19;T;P;1
2020-W14;CH;Y15T19;M;P;1
2020-W14;CH;Y20T24;T;P;3
2020-W14;CH;Y20T24;F;P;2
2020-W14;CH;Y20T24;M;P;1
2020-W14;CH;Y25T29;T;P;3
2020-W14;CH;Y25T29;F;P;1
2020-W14;CH;Y25T29;M;P;2
2020-W14;CH;Y30T34;T;P;5
2020-W14;CH;Y30T34;F;P;1
2020-W14;CH;Y30T34;M;P;4
2020-W14;CH;Y35T39;T;P;8
2020-W14;CH;Y35T39;F;P;2
2020-W14;CH;Y35T39;M;P;6
2020-W14;CH;Y40T44;T;P;5
2020-W14;CH;Y40T44;F;P;3
2020-W14;CH;Y40T44;M;P;2
2020-W14;CH;Y45T49;T;P;14
2020-W14;CH;Y45T49;F;P;1
2020-W14;CH;Y45T49;M;P;13
2020-W14;CH;Y50T54;T;P;28
2020-W14;CH;Y50T54;F;P;7
2020-W14;CH;Y50T54;M;P;21
2020-W14;CH;Y55T59;T;P;42
2020-W14;CH;Y55T59;F;P;15
2020-W14;CH;Y55T59;M;P;27
2020-W14;CH;Y60T64;T;P;54
2020-W14;CH;Y60T64;F;P;20
2020-W14;CH;Y60T64;M;P;34
2020-W14;CH;Y65T69;T;P;108
2020-W14;CH;Y65T69;F;P;36
2020-W14;CH;Y65T69;M;P;72
2020-W14;CH;Y70T74;T;P;139
2020-W14;CH;Y70T74;F;P;46
2020-W14;CH;Y70T74;M;P;93
2020-W14;CH;Y75T79;T;P;190
2020-W14;CH;Y75T79;F;P;73
2020-W14;CH;Y75T79;M;P;117
2020-W14;CH;Y80T84;T;P;293
2020-W14;CH;Y80T84;F;P;125
2020-W14;CH;Y80T84;M;P;168
2020-W14;CH;Y85T89;T;P;387
2020-W14;CH;Y85T89;F;P;196
2020-W14;CH;Y85T89;M;P;191
2020-W14;CH;Y_GE90;T;P;577
2020-W14;CH;Y_GE90;F;P;363
2020-W14;CH;Y_GE90;M;P;214
2020-W15;CH;_T;T;P;1627
2020-W15;CH;_T;F;P;827
2020-W15;CH;_T;M;P;800
2020-W15;CH;Y0T4;T;P;3
2020-W15;CH;Y0T4;F;P;1
2020-W15;CH;Y0T4;M;P;2
2020-W15;CH;Y10T14;T;P;1
2020-W15;CH;Y10T14;M;P;1
2020-W15;CH;Y15T19;T;P;4
2020-W15;CH;Y15T19;F;P;1
2020-W15;CH;Y15T19;M;P;3
2020-W15;CH;Y20T24;T;P;3
2020-W15;CH;Y20T24;F;P;1
2020-W15;CH;Y20T24;M;P;2
2020-W15;CH;Y25T29;T;P;4
2020-W15;CH;Y25T29;M;P;4
2020-W15;CH;Y30T34;T;P;6
2020-W15;CH;Y30T34;F;P;1
2020-W15;CH;Y30T34;M;P;5
2020-W15;CH;Y35T39;T;P;9
2020-W15;CH;Y35T39;F;P;4
2020-W15;CH;Y35T39;M;P;5
2020-W15;CH;Y40T44;T;P;6
2020-W15;CH;Y40T44;F;P;3
2020-W15;CH;Y40T44;M;P;3
2020-W15;CH;Y45T49;T;P;20
2020-W15;CH;Y45T49;F;P;8
2020-W15;CH;Y45T49;M;P;12
2020-W15;CH;Y50T54;T;P;18
2020-W15;CH;Y50T54;F;P;7
2020-W15;CH;Y50T54;M;P;11
2020-W15;CH;Y55T59;T;P;36
2020-W15;CH;Y55T59;F;P;19
2020-W15;CH;Y55T59;M;P;17
2020-W15;CH;Y60T64;T;P;56
2020-W15;CH;Y60T64;F;P;16
2020-W15;CH;Y60T64;M;P;40
2020-W15;CH;Y65T69;T;P;70
2020-W15;CH;Y65T69;F;P;26
2020-W15;CH;Y65T69;M;P;44
2020-W15;CH;Y70T74;T;P;136
2020-W15;CH;Y70T74;F;P;53
2020-W15;CH;Y70T74;M;P;83
2020-W15;CH;Y75T79;T;P;181
2020-W15;CH;Y75T79;F;P;84
2020-W15;CH;Y75T79;M;P;97
2020-W15;CH;Y80T84;T;P;239
2020-W15;CH;Y80T84;F;P;110
2020-W15;CH;Y80T84;M;P;129
2020-W15;CH;Y85T89;T;P;348
2020-W15;CH;Y85T89;F;P;174
2020-W15;CH;Y85T89;M;P;174
2020-W15;CH;Y_GE90;T;P;487
2020-W15;CH;Y_GE90;F;P;319
2020-W15;CH;Y_GE90;M;P;168
2020-W16;CH;_T;T;P;1557
2020-W16;CH;_T;F;P;802
2020-W16;CH;_T;M;P;755
2020-W16;CH;Y0T4;T;P;6
2020-W16;CH;Y0T4;F;P;3
2020-W16;CH;Y0T4;M;P;3
2020-W16;CH;Y5T9;T;P;1
2020-W16;CH;Y5T9;M;P;1
2020-W16;CH;Y15T19;T;P;3
2020-W16;CH;Y15T19;F;P;1
2020-W16;CH;Y15T19;M;P;2
2020-W16;CH;Y20T24;T;P;6
2020-W16;CH;Y20T24;F;P;3
2020-W16;CH;Y20T24;M;P;3
2020-W16;CH;Y25T29;T;P;4
2020-W16;CH;Y25T29;F;P;1
2020-W16;CH;Y25T29;M;P;3
2020-W16;CH;Y30T34;T;P;1
2020-W16;CH;Y30T34;M;P;1
2020-W16;CH;Y35T39;T;P;8
2020-W16;CH;Y35T39;F;P;4
2020-W16;CH;Y35T39;M;P;4
2020-W16;CH;Y40T44;T;P;5
2020-W16;CH;Y40T44;M;P;5
2020-W16;CH;Y45T49;T;P;17
2020-W16;CH;Y45T49;F;P;6
2020-W16;CH;Y45T49;M;P;11
2020-W16;CH;Y50T54;T;P;30
2020-W16;CH;Y50T54;F;P;10
2020-W16;CH;Y50T54;M;P;20
2020-W16;CH;Y55T59;T;P;34
2020-W16;CH;Y55T59;F;P;12
2020-W16;CH;Y55T59;M;P;22
2020-W16;CH;Y60T64;T;P;55
2020-W16;CH;Y60T64;F;P;26
2020-W16;CH;Y60T64;M;P;29
2020-W16;CH;Y65T69;T;P;82
2020-W16;CH;Y65T69;F;P;35
2020-W16;CH;Y65T69;M;P;47
2020-W16;CH;Y70T74;T;P;122
2020-W16;CH;Y70T74;F;P;45
2020-W16;CH;Y70T74;M;P;77
2020-W16;CH;Y75T79;T;P;161
2020-W16;CH;Y75T79;F;P;58
2020-W16;CH;Y75T79;M;P;103
2020-W16;CH;Y80T84;T;P;239
2020-W16;CH;Y80T84;F;P;122
2020-W16;CH;Y80T84;M;P;117
2020-W16;CH;Y85T89;T;P;319
2020-W16;CH;Y85T89;F;P;176
2020-W16;CH;Y85T89;M;P;143
2020-W16;CH;Y_GE90;T;P;464
2020-W16;CH;Y_GE90;F;P;300
2020-W16;CH;Y_GE90;M;P;164
2020-W17;CH;_T;T;P;1358
2020-W17;CH;_T;F;P;701
2020-W17;CH;_T;M;P;657
2020-W17;CH;Y0T4;T;P;8
2020-W17;CH;Y0T4;F;P;5
2020-W17;CH;Y0T4;M;P;3
2020-W17;CH;Y5T9;T;P;1
2020-W17;CH;Y5T9;F;P;1
2020-W17;CH;Y15T19;T;P;2
2020-W17;CH;Y15T19;M;P;2
2020-W17;CH;Y20T24;T;P;2
2020-W17;CH;Y20T24;F;P;1
2020-W17;CH;Y20T24;M;P;1
2020-W17;CH;Y25T29;T;P;5
2020-W17;CH;Y25T29;F;P;2
2020-W17;CH;Y25T29;M;P;3
2020-W17;CH;Y30T34;T;P;4
2020-W17;CH;Y30T34;F;P;1
2020-W17;CH;Y30T34;M;P;3
2020-W17;CH;Y35T39;T;P;7
2020-W17;CH;Y35T39;F;P;1
2020-W17;CH;Y35T39;M;P;6
2020-W17;CH;Y40T44;T;P;9
2020-W17;CH;Y40T44;F;P;3
2020-W17;CH;Y40T44;M;P;6
2020-W17;CH;Y45T49;T;P;19
2020-W17;CH;Y45T49;F;P;8
2020-W17;CH;Y45T49;M;P;11
2020-W17;CH;Y50T54;T;P;27
2020-W17;CH;Y50T54;F;P;11
2020-W17;CH;Y50T54;M;P;16
2020-W17;CH;Y55T59;T;P;46
2020-W17;CH;Y55T59;F;P;17
2020-W17;CH;Y55T59;M;P;29
2020-W17;CH;Y60T64;T;P;53
2020-W17;CH;Y60T64;F;P;13
2020-W17;CH;Y60T64;M;P;40
2020-W17;CH;Y65T69;T;P;57
2020-W17;CH;Y65T69;F;P;30
2020-W17;CH;Y65T69;M;P;27
2020-W17;CH;Y70T74;T;P;111
2020-W17;CH;Y70T74;F;P;42
2020-W17;CH;Y70T74;M;P;69
2020-W17;CH;Y75T79;T;P;135
2020-W17;CH;Y75T79;F;P;57
2020-W17;CH;Y75T79;M;P;78
2020-W17;CH;Y80T84;T;P;198
2020-W17;CH;Y80T84;F;P;94
2020-W17;CH;Y80T84;M;P;104
2020-W17;CH;Y85T89;T;P;281
2020-W17;CH;Y85T89;F;P;158
2020-W17;CH;Y85T89;M;P;123
2020-W17;CH;Y_GE90;T;P;393
2020-W17;CH;Y_GE90;F;P;257
2020-W17;CH;Y_GE90;M;P;136
2020-W18;CH;_T;T;P;1237
2020-W18;CH;_T;F;P;633
2020-W18;CH;_T;M;P;604
2020-W18;CH;Y0T4;T;P;5
2020-W18;CH;Y0T4;F;P;2
2020-W18;CH;Y0T4;M;P;3
2020-W18;CH;Y15T19;T;P;4
2020-W18;CH;Y15T19;F;P;3
2020-W18;CH;Y15T19;M;P;1
2020-W18;CH;Y20T24;T;P;5
2020-W18;CH;Y20T24;M;P;5
2020-W18;CH;Y25T29;T;P;2
2020-W18;CH;Y25T29;M;P;2
2020-W18;CH;Y30T34;T;P;1
2020-W18;CH;Y30T34;M;P;1
2020-W18;CH;Y35T39;T;P;9
2020-W18;CH;Y35T39;F;P;4
2020-W18;CH;Y35T39;M;P;5
2020-W18;CH;Y40T44;T;P;4
2020-W18;CH;Y40T44;F;P;3
2020-W18;CH;Y40T44;M;P;1
2020-W18;CH;Y45T49;T;P;2
2020-W18;CH;Y45T49;M;P;2
2020-W18;CH;Y50T54;T;P;13
2020-W18;CH;Y50T54;F;P;4
2020-W18;CH;Y50T54;M;P;9
2020-W18;CH;Y55T59;T;P;36
2020-W18;CH;Y55T59;F;P;19
2020-W18;CH;Y55T59;M;P;17
2020-W18;CH;Y60T64;T;P;42
2020-W18;CH;Y60T64;F;P;17
2020-W18;CH;Y60T64;M;P;25
2020-W18;CH;Y65T69;T;P;67
2020-W18;CH;Y65T69;F;P;29
2020-W18;CH;Y65T69;M;P;38
2020-W18;CH;Y70T74;T;P;95
2020-W18;CH;Y70T74;F;P;39
2020-W18;CH;Y70T74;M;P;56
2020-W18;CH;Y75T79;T;P;123
2020-W18;CH;Y75T79;F;P;52
2020-W18;CH;Y75T79;M;P;71
2020-W18;CH;Y80T84;T;P;175
2020-W18;CH;Y80T84;F;P;84
2020-W18;CH;Y80T84;M;P;91
2020-W18;CH;Y85T89;T;P;260
2020-W18;CH;Y85T89;F;P;144
2020-W18;CH;Y85T89;M;P;116
2020-W18;CH;Y_GE90;T;P;394
2020-W18;CH;Y_GE90;F;P;233
2020-W18;CH;Y_GE90;M;P;161
2020-W19;CH;_T;T;P;1168
2020-W19;CH;_T;F;P;590
2020-W19;CH;_T;M;P;578
2020-W19;CH;Y0T4;T;P;5
2020-W19;CH;Y0T4;F;P;3
2020-W19;CH;Y0T4;M;P;2
2020-W19;CH;Y15T19;T;P;1
2020-W19;CH;Y15T19;F;P;1
2020-W19;CH;Y20T24;T;P;4
2020-W19;CH;Y20T24;F;P;1
2020-W19;CH;Y20T24;M;P;3
2020-W19;CH;Y25T29;T;P;1
2020-W19;CH;Y25T29;F;P;1
2020-W19;CH;Y30T34;T;P;3
2020-W19;CH;Y30T34;M;P;3
2020-W19;CH;Y35T39;T;P;13
2020-W19;CH;Y35T39;F;P;3
2020-W19;CH;Y35T39;M;P;10
2020-W19;CH;Y40T44;T;P;5
2020-W19;CH;Y40T44;F;P;1
2020-W19;CH;Y40T44;M;P;4
2020-W19;CH;Y45T49;T;P;12
2020-W19;CH;Y45T49;F;P;1
2020-W19;CH;Y45T49;M;P;11
2020-W19;CH;Y50T54;T;P;25
2020-W19;CH;Y50T54;F;P;9
2020-W19;CH;Y50T54;M;P;16
2020-W19;CH;Y55T59;T;P;42
2020-W19;CH;Y55T59;F;P;18
2020-W19;CH;Y55T59;M;P;24
2020-W19;CH;Y60T64;T;P;53
2020-W19;CH;Y60T64;F;P;24
2020-W19;CH;Y60T64;M;P;29
2020-W19;CH;Y65T69;T;P;60
2020-W19;CH;Y65T69;F;P;24
2020-W19;CH;Y65T69;M;P;36
2020-W19;CH;Y70T74;T;P;110
2020-W19;CH;Y70T74;F;P;42
2020-W19;CH;Y70T74;M;P;68
2020-W19;CH;Y75T79;T;P;134
2020-W19;CH;Y75T79;F;P;66
2020-W19;CH;Y75T79;M;P;68
2020-W19;CH;Y80T84;T;P;148
2020-W19;CH;Y80T84;F;P;61
2020-W19;CH;Y80T84;M;P;87
2020-W19;CH;Y85T89;T;P;241
2020-W19;CH;Y85T89;F;P;126
2020-W19;CH;Y85T89;M;P;115
2020-W19;CH;Y_GE90;T;P;311
2020-W19;CH;Y_GE90;F;P;209
2020-W19;CH;Y_GE90;M;P;102
2020-W20;CH;_T;T;P;1135
2020-W20;CH;_T;F;P;592
2020-W20;CH;_T;M;P;543
2020-W20;CH;Y0T4;T;P;9
2020-W20;CH;Y0T4;F;P;2
